ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
28,7章,分詞,-,-,186,発展,-,F 111,祝日だったので、通りはとてもにぎやかだった。,"( )( ) a public holiday, the streets were very busy.",-,"It being a public holiday, the streets were very busy.",It / being,主節の主語と分詞構文の主語が一致しない文なので、分詞構文に意味上の主語が必要。主節の主語は the streets 「通り」。分詞構文で表す「祝日なので」には、「時」を表す主語を置く。,"分詞構文の主語が主節の主語と一致しない場合、意味上の主語を明確にするため、分詞の前に意味上の主語を置く。これを独立分詞構文と呼ぶ。この文では、主節の主語は the streets, 分詞構文の主語は「時を表すit」。",-,独立分詞構文はフォーマルな文書や文学的な表現として使われる。英作文や会話では、慣用的な独立分詞構文以外はbecause などの接続詞を使って表現すればよい。,it / be / consider / generally / impact / appearance
29,7章,分詞,-,-,187,発展,-,-,いろいろ考えると、私たちは空港までタクシーで行ったほうがいい。,"( )( )( ), we should take a taxi to the airport.",-,"All things considered, we should take a taxi to the airport.",All / things / considered,「すべてのことが考慮されると」と表現する。意味上の主語を分詞の前に置く。,all things considered 「すべてのことを考慮すると」。all things が意味上の主語。all things are considered という受動の関係。,-,-,it / be / consider / generally / impact / appearance
30,7章,分詞,-,-,188,基本,-,-,一般的に言って、人は変化を好まないものだ。,"(G )( ), people do not like change.",G,"Generally speaking, people do not like change.",Generally / speaking,「一般的に言えば」を表す定型表現(慣用的な独立分詞構文)は?,慣用的な独立分詞構文では、分詞の主語が主節の主語と一致していなくても、分詞の前に意味上の主語を置かない。「不特定多数の人々」や「話し手」などが分詞の意味上の主語であり、わざわざ示さなくても意味が通じるためである。generally speaking 「一般的に言えば」,-,-,it / be / consider / generally / impact / appearance
31,7章,分詞,-,-,189,発展,-,-,ソーシャルメディアの影響を考慮すると、個人情報を共有しないことが重要だ。,"( ) the ( )( )( )(m ), it is important to avoid sharing personal information.",m,"Considering [Given] the impact of social media, it is important to avoid sharing personal information.",Considering [Given] / impact / of / social / media,「~を考慮すれば」を表す定型表現は?,considering A / given A 「Aを考慮すれば」,"impact ①名詞「影響」②動詞 「~に影響する」, avoid doing 「~するのを避ける、~しないようにする」",-,it / be / consider / generally / impact / appearance
32,7章,分詞,-,-,190,基本,-,F 111,外見から判断すると、彼はスポーツが得意かもしれない。,"( )( ) his (a ), I think he might be good at sports.",a,"Judging from his appearance, I think he might be good at sports.",Judging / from / appearance,「~から判断すると」を表す定型表現は?,judging from [by] A 「Aから判断すると」,"appearance「外見」, be good at A 「Aが得意だ」 ⇔ be bad [poor] at A 「Aが下手だ、Aが苦手だ」",-,it / be / consider / generally / impact / appearance
33,7章,分詞,-,-,163-1,精選英作文,-,-,多くの製品はリサイクル素材から作られている。,(recycled/from/made/materials / are).,-,Many products are made from recycled materials.,are / made / from / recycled / materials,-,-,-,-,-
34,7章,分詞,-,-,163-2,精選英作文,-,-,出生率の低下はよく議論される問題だ。,The (issue/much-discussed/birth rate /a/ is / declining).,-,The declining birth rate is a much-discussed issue.,declining / birth / rate / is / a / much-discussed / issue,-,-,-,-,-
35,7章,分詞,-,-,164-1,精選英作文,-,-,一人暮らしの高齢者が増えている。,(people/of/living/ the number / elderly / alone) is increasing.,-,The number of elderly people living alone is increasing.,The / number / of / elderly / people / living / alone,-,-,-,-,-
36,7章,分詞,-,-,164-2,精選英作文,-,-,外国語で書かれたメニューを提供しているレストランもある。,Some restaurants (in/written/languages/foreign/offer/menus).,-,Some restaurants offer menus written in foreign languages.,offer / menus / written / in / foreign / languages,-,-,-,-,-
37,7章,分詞,-,-,166,精選英作文,-,-,いすにバッグが置き忘れてあり、女性がそれを手に取ろうとしている。,"(a/bag/is/left / on / there) the chair, and the woman is picking it up.",-,"There is a bag left on the chair, and the woman is picking it up.",There / is / a / bag / left / on,-,-,-,-,-
38,7章,分詞,-,-,167,精選英作文,-,-,犬が飼い主のもとに走って来た。,(running/ the dog/to/his owner / came).,-,The dog came running to his owner.,The / dog / came / running / to / his / owner,-,-,-,-,-
39,7章,分詞,-,-,168,精選英作文,-,-,子どもは親の影響を受けて育つ。,(their parents/by/up/influenced/children/grow).,-,Children grow up influenced by their parents.,Children / grow / up / influenced / by / their / parents,-,-,-,-,-
40,7章,分詞,-,-,169,精選英作文,-,-,お待たせしてしまって申し訳ありません。,I'm (waiting/to/you/kept/sorry / have).,-,I'm sorry to have kept you waiting.,sorry / to / have / kept / you / waiting,-,-,-,-,-
41,7章,分詞,-,-,171,精選英作文,-,-,昨夜のコンサートで先生が踊っているのを見た。,(dancing/teacher/at/my/saw/1) the concert last night.,-,I saw my teacher dancing at the concert last night.,I / saw / my / teacher / dancing / at,-,-,-,-,-
42,7章,分詞,-,-,174-1,精選英作文,-,-,写真を撮られるのが好きではない人もいる。,Some people (taken / having/do/like/not/their picture).,-,Some people do not like having their picture taken.,do / not / like / having / their / picture / taken,-,-,-,-,-
43,7章,分詞,-,-,174-2,精選英作文,-,-,私はローマの地下鉄で財布を盗まれた。,(wallet/1/stolen / had/my) on the subway in Rome.,-,I had my wallet stolen on the subway in Rome.,I / had / my / wallet / stolen,-,-,-,-,-
44,7章,分詞,-,-,175,精選英作文,-,-,私は何とか英語で意思を伝えることができた,(1/myself/to/understood/managed/make) in English.,-,I managed to make myself understood in English.,I / managed / to / make / myself / understood,-,-,-,-,-
45,7章,分詞,-,-,178,精選英作文,-,-,その女性は腕を組んで立っている,The woman (arms/is/ folded/her/standing / with).,-,The woman is standing with her arms folded.,is / standing / with / her / arms / folded,-,-,-,-,-
46,7章,分詞,-,-,179,精選英作文,-,-,彼らは今週末の吹奏楽演奏会の練習で忙しい。,(the brass band concert/they/practicing/are/busy/for) this weekend.,-,They are busy practicing for the brass band concert this weekend.,They / are / busy / practicing / for / the / brass / band / concert,-,-,-,-,-
47,7章,分詞,-,-,180,精選英作文,-,-,多くの子どもはスクリーンを見るのに時間を使い過ぎだ。,Many children (looking/too/time/spend/at/ much) screens.,-,Many children spend too much time looking at screens.,spend / too / much / time / looking / at,-,-,-,-,-
48,7章,分詞,-,-,181,精選英作文,-,-,多くの家庭が子どもの教育費の支払いに苦労している。,Many families (have/paying/education / for / their children's / difficulty).,-,Many families have difficulty paying for their children's education.,have / difficulty / paying / for / their / children's / education,-,-,-,-,-
49,7章,分詞,-,-,183,精選英作文,-,-,アプリの使い方がわからず、友達に助けを求めた。,"(to/knowing/ the app/not/use/how), I asked my friends for help.",-,"Not knowing how to use the app, I asked my friends for help.",Not / knowing / how / to / use / the / app,-,-,-,-,-
50,7章,分詞,-,-,187,精選英作文,-,-,いろいろ考えると、私たちは空港までタクシーで行ったほうがいい。,"(we/considered, / take /all/should / things) a taxi to the airport.",-,"All things considered, we should take a taxi to the airport.","All / things / considered, / we / should / take",-,-,-,-,-
51,7章,分詞,-,-,188,精選英作文,-,-,一般的に言って、人は変化を好まないものだ。,"(do/people/generally/like/speaking, / not) change.",-,"Generally speaking, people do not like change.","Generally / speaking, / people / do / not / like",-,-,-,-,-
52,7章,分詞,-,-,189,精選英作文,-,-,ソーシャルメディアの影響を考慮すると、個人情報を共有しないことが重要だ,"(it/is/social media, / the impact/of/considering) important to avoid sharing personal information.",-,"Considering the impact of social media, it is important to avoid sharing personal information.","Considering / the / impact / of / social / media, / it / is",-,-,-,-,-
53,7章,分詞,-,-,190,精選英作文,-,-,外見から判断すると、彼はスポーツが得意かもしれない。,"(1/judging/appearance, / his/think/from) he might be good at sports.",-,"Judging from his appearance, I think he might be good at sports.","Judging / from / his / appearance, / I / think",-,-,-,-,-
1,8章,関係詞,-,-,191-1,基本,-,F 113,その国では18歳以上の人は誰でも投票できる。,Anyone (w)( ) 18 years or older can vote in the country.,w,Anyone who is 18 years or older can vote in the country.,who / is,「誰でも(先行詞)」と「18歳以上である」を関係代名詞でつなぐ。「誰もが18歳以上である」ので、主格の関係代名詞を使う。,"関係詞は直前の名詞(先行詞)と直後の節(関係詞節)をつなぎ、名詞を修飾する。主格の関係代名詞 who [that]を使った文。問題文は人(anyone)が先行詞で、関係代名詞は主語の働きをしている。先行詞が「人」の場合,whoを使うことが多い。anyone は単数扱い。",18 years (of age) or older 「18歲以上」,-,make / need / would like to / visit
2,8章,関係詞,-,-,191-2,基本,-,"F 113, F 116",学習を楽しくする教育アプリがある。,There are educational apps ( )( ) learning fun.,-,There are educational apps that [which] make learning fun.,that [which] / make,「教育アプリ (先行詞)」と「学習を楽しくする」を関係代名詞でつなぐ。「アプリが学習を楽しくさせる」ので、主格の関係代名詞を使う。,"主格の関係代名詞 that [which]を使った文。人以外(apps)が先行詞で、関係代名詞は主語の働きをしている。先行詞が「人以外」の場合, that を使うことが多い。","make A fun 「Aを楽しくする」, learning 「学習」",-,make / need / would like to / visit
3,8章,関係詞,-,-,192-1,基本,-,"F 114, F 116",君が必要な情報はネットで見つけることができる。,You can find the information ( )( )( ) online.,-,You can find the information (that [which]) you need online.,that [which] / you / need,「情報(先行詞)」と「君が必要とする」を関係代名詞でつなぐ。「君が情報を必要とする」ので、目的格の関係代名詞を使う。,目的格の関係代名詞 that [which] を使った文。人以外 (the information) が先行詞で、関係代名詞は目的語の働きをしている (needの目的語の働き)。,-,-,make / need / would like to / visit
4,8章,関係詞,-,-,192-2,基本,-,F 114,ヨーロッパにはいつか訪れたい国がたくさんある。,There are ( )( ) in Europe ( )( )( )( ) someday.,-,There are many countries in Europe I would like to visit someday.,many / countries / I / would / like / to / visit,「たくさんの国(先行詞)」と「私が訪れたい」をつなぐ。「私はたくさんの国を訪れたい」ので、目的格の関係代名詞を使うが、目的格の関係代名詞はしばしば省略される。,目的格の関係代名詞は省略することが多い。,-,-,make / need / would like to / visit
5,8章,関係詞,-,-,193-1,基本,-,F 115,お兄さんがオーストラリアに留学している友達がいる。,I have ( )( )( )( ) is studying in Australia.,-,I have a friend whose brother is studying in Australia.,a / friend / whose / brother,「友達(先行詞)」と「お兄さんがオーストラリアで学んでいる」を関係代名詞でつなぐ。「友達のお兄さん」なので、所有格の関係代名詞を使う。,"所有格の関係代名詞は、先行詞が所有するものについて情報を加える場合に使う。先行詞が人か人以外かにかかわらず whose を使い, whose +名詞の形にする。問題文は人(a friend)が先行詞。his [her] brother が whose brother になる。",-,関係詞節が先行詞の名詞を限定(修飾)しているからと言って、the friend になるとは限らない。,count on
6,8章,関係詞,-,-,193-2,基本,-,F 115,田舎では、戸が開いている家をよく見かける。,"In the countryside, it is common to see ( )( )( )( ) are open.",-,"In the countryside, it is common to see houses whose doors are open.",houses / whose / doors,「家家々(先行詞)」と「戸が開いている」を関係代名詞でつなぐ。「家々の戸」なので、所有格の関係代名詞を使う。,先行詞が人以外の場合でもwhose を使う。問題文は、their doors (それらの戸[その家々の戸])だったものが whose doors となり、それが先行詞 housesの直後に置かれている。,-,-,count on
7,8章,関係詞,-,-,194-1,基本,-,F 117,君がノートパソコンを持ち運ぶバッグはどこ?,Where is the bag ( )( ) you carry your laptop?,-,Where is the bag in which you carry your laptop?,in / which,「バッグ(先行詞)」と「君がノートパソコンを持ち運ぶ」を関係代名詞でつなぐ。ただし、もとになる文を考えたとき、 you carry your laptop the bag では何かが足りていない。その足りていないものを補って考えると?,関係代名詞が前置詞 (in)の目的語になっている。問題文は、前置詞と関係代名詞をセットで前に置いた形。セットで置く場合、関係代名詞を省略することはできず、that は使えない。,-,-,count on
8,8章,関係詞,-,-,194-2,基本,-,F 117,私にはいつでも頼れる友達がいる。,I have a friend ( )( )( ) always (c )( ).,c,I have a friend who(m) I can always count on.,who(m) / I / can / count / on,「友達(先行詞)」と「私がいつも頼りにしている」を関係代名詞でつなぐ。「友達に頼る」ので、目的格の関係代名詞を使う。句動詞の目的語が関係代名詞になるとき、句動詞の前置詞はどの位置に置く?,関係代名詞が前置詞 (on)の目的語になっており、前置詞が後ろに残っている。count on A 「Aを頼りにする」などの句動詞はそのまとまりで意味を持つので、前置詞を切り離さず後ろに残す。「人」が先行詞なのでwhoが好まれる。,count on A 「Aを頼りにする」,-,count on
9,8章,関係詞,-,-,195-1,基本,-,F 119,看護師である私の兄は、市立病院に勤務しています。,"My brother( )( )( )( )( ), works at the city hospital.",-,"My brother, who is a nurse, works at the city hospital.",", / who / is / a / nurse",「看護師である(兄)」という情報を加えるが、先行詞は「私の(兄)」となっており、すでに「私の」で特定されている。すでに特定(限定)されている情報について追加の説明を加える関係代名詞の用法は? 限定用法? それとも非限定用法?,"「私の兄」というすでに限定されている情報について追加の説明を加えるので、限定用法ではなく非限定用法の関係詞を使う。人(My brother) が先行詞の場合,非限定用法の関係代名詞は、主格の場合は who, 目的格の場合は who(m)を使う。",-,-,have / case / whom / neither
10,8章,関係詞,-,-,195-2,基本,-,F 120,医療は誰もが必要とするものであり、それは基本的人権である。,Everyone needs medical care( )( )( ) a basic human right.,-,"Everyone needs medical care, which is a basic human right.",", / which / is",「医療」について追加の説明を加える。関係代名詞は限定用法? それとも非限定用法?,"関係代名詞の非限定用法。人以外 (medical care) が先行詞の場合, 非限定用法の関係代名詞は which を使う。",medical care / medical treatment「医療」,"非限定用法がある関係代名詞は, who, whom, which, whose. that に非限定用法はない。",have / case / whom / neither
11,8章,関係詞,-,-,196,-,-,F 120,多くの子どもがスマートフォンを使い過ぎており、そのことは彼らの健康に悪影響を及ぼすことがある。,"Many children use their smartphones too much, ( )( )( ) a negative impact on their health.",-,"Many children use their smartphones too much, which can have a negative impact on their health.",which / can / have,Many children ~ too much という文について追加の説明を加えるには?,関係代名詞 which の非限定用法には、先行する主節の内容について追加の説明をし、「そしてそのことは~」を意味する用法もある。Many children ~ too much までの文全体が先行詞にあたる。,have a negative impact on A 「Aに悪影響を及ぼす」,-,have / case / whom / neither
12,8章,関係詞,-,-,197,発展,-,-,彼は電話に出ないかもしれないので、その場合はメッセージを残してください。,"He may not answer the phone, ( )( ) just leave a message.",-,"He may not answer the phone, in which case just leave a message.",in / which / case,「~、そしてその場合･･･」を表す、関係形容詞を使った表現は?,"in which caseで「そしてその場合は(= and in that case,)」を意味する。この which は (which+名詞〉の形で使われる関係形容詞。先行詞は主節の内容。",-,-,have / case / whom / neither
13,8章,関係詞,-,-,198,発展,-,-,男性が地図を持って観光客のグループに道案内をしており、観光客は全員、熱心に聞いている。,"A man is holding a map and giving directions to a group of tourists, ( )( )( ) are listening intently.",-,"A man is holding a map and giving directions to a group of tourists, all of whom are listening intently.",all / of / whom,「~、そして彼ら(観光客)は全員･･･」を表す、関係代名詞を使った表現は?,"〈~, whom ...〉のwhomの前に all of がついた形。先行詞はa group of tourists.","give A directions / give directions to A 「Aに道を教える」, listen intently 「熱心に聞く」",× all of who... は誤り。,have / case / whom / neither
14,8章,関係詞,-,-,199,発展,-,-,私たちは2つの解決策を試したが、どちらもうまくいかなかった。,"We tried two solutions, ( )( )( ) worked.",-,"We tried two solutions, neither of which worked.",neither / of / which,「~、そのどちらも･･･ない」を表す、関係代名詞を使った表現は?,"〈~, which ...〉のwhichの前に neither of がついた形。先行詞は two solutions.",-,先行詞が人の場合はwhomを、人以外の場合は which を使う。,have / case / whom / neither
15,8章,関係詞,-,-,200-1,基本,-,F 121,人々が安心して暮らせる社会をつくらなければならない。,We have to create a (s )( ) people can live in peace.,s,We have to create a society where people can live in peace.,society / where,文中の「社会」の働きに着目すると、「社会で」人々が安心して暮らすということだとわかる。「社会で」は場所を表す副詞句で表現するから、使用する関係詞は何?,関係副詞は節の中で副詞の働きをしている。関係副詞 where は場所を表す先行詞を修飾する。,live in peace 「安心して暮らす、平和に暮らす」,-,society / store / sit
16,8章,関係詞,-,-,200-2,基本,-,F 121,あれが昨日、この靴を購入した店だ。,That's the ( )( )( ) I bought these shoes yesterday.,-,That's the store [shop] at which I bought these shoes yesterday.,store [shop] / at / which,「店で」この靴を購入したということなので関係副詞 where を使って表せるが、ここでは関係代名詞を使って、関係副詞と同じ意味を表してみよう。,場所が先行詞の場合、前置詞+which で関係副詞 where と同じ働きをする。,-,-,society / store / sit
17,8章,関係詞,-,-,201,基本,-,-,彼女は私たちが座っている所へ走って来た。,She came running to ( )( )( )( ).,-,She came running to where we were sitting.,where / we / were / sitting,the place 「所」は、関係副詞の先行詞のとき、省略できる?できない?,関係副詞 where は先行詞を省略して使うこともある (the placeの省略)。先行詞に the place を使うときは、関係副詞 whereのほうを省略することもできる。,-,-,society / store / sit
18,8章,関係詞,-,-,202,基本,-,-,行ったことのない国を訪れたい。,I want to visit a ( )( ) I have never been to.,-,I want to visit a country that [which] I have never been to.,country / that [which],「国(先行詞)」と「私が行ったことのない」を関係詞でつなぐ。後半がhave never been to となっているから使うのは関係代名詞? それとも関係副詞?,先行詞が場所を表す語だからといって関係副詞 where を使うとは限らない。関係詞が節の中で代名詞の役割をする場合は関係代名詞 that [which] を使う。,have never been to A「A(場所の名前)に一度も行ったことがない」,-,society / store / sit
19,8章,関係詞,-,-,203,基本,-,F 122,私たちは正解のない時代に生きている。,We live in an ( )( ) there are no right answers.,-,We live in an age when there are no right answers.,age / when,「時代」は時を表す語句。時を表す先行詞を修飾する関係副詞は?,関係副詞 when は時を表す先行詞を修飾する。,-,-,age / good / reason / greet
20,8章,関係詞,-,-,204-1,基本,-,F 123,サッカーがそれほど多くの国で人気があるのには十分な理由がある。,There are ( )( )( ) soccer is popular in so many countries.,-,There are good reasons why soccer is popular in so many countries.,good / reasons / why,「理由」が先行詞にくる関係副詞は? 「十分な理由→ 正当な理由」と表現する。,関係副詞 why は reason(s) を先行詞とし、理由を表す節を導く。,-,-,age / good / reason / greet
21,8章,関係詞,-,-,204-2,基本,-,F 123,サラは毎朝、オンライン英会話のレッスンを受けている。それで彼女は外国人観光客と流ちょうにコミュニケーションをとれる。,Sara takes online English conversation lessons every morning. ( )( ) she is able to communicate fluently with foreign tourists.,-,Sara takes online English conversation lessons every morning. That's why she is able to communicate fluently with foreign tourists.,That's / why,「それで→ そういうわけで」を関係副詞を使って表すと?,That's why... 「そういうわけで･･･」。That's (the reason) why... 「それが･･･の理由だ」のthe reason が省略された形。,foreign tourist「外国人観光客」,-,age / good / reason / greet
22,8章,関係詞,-,-,205-1,基本,-,-,文化の違いにより、人々のあいさつの仕方に違いがある。,There are differences in ( )(p )(g ) each other in different cultures.,p / g,There are differences in how people greet each other in different cultures.,how / people / greet,「人々のあいさつの仕方 =人々があいさつを交わす方法」。differences in の inは「~(ということ)において」の意味。「文化の違いにより」は「異なる文化においては」 (in different cultures) と表現されている。,関係副詞 how は先行詞なしで使われ、「･･･する方法、･･･するやり方」という意味の名詞節を導く。= the way (in which),greet each other 「あいさつを交わす」 = exchange greetings,-,age / good / reason / greet
23,8章,関係詞,-,-,205-2,基本,-,F 124,誕生日には、みんなで特別な夕食をとる。これが我が家の誕生日の祝い方だ。,"On birthdays, we have a special dinner together. ( )( )( ) we celebrate them in our family.",-,"On birthdays, we have a special dinner together. This is how we celebrate them in our family.",This / is / how,「これが我が家の･･･の祝い方だ→このようにして私たちは家族で･･･を祝う」,This is how... 「このようにして･･･」,-,-,age / good / reason / greet
24,8章,関係詞,-,-,206,基本,-,F 125,ケンはカフェ・ココで働いているのだが、そこはおいしいコーヒーをいれる。,"Ken works at Café Coco, ( )( ) make great coffee.",-,"Ken works at Café Coco, where they make great coffee.",where / they,"「カフェで」に追加の説明を加えるとき, at Café Coco の代わりをする関係副詞は? 「コーヒーをいれる」の主語(カフェの店員たち)を代名詞で表す。「店員たち」を表す代名詞は?","関係代名詞に非限定用法があるように、関係副詞にも非限定用法がある。場所を表す語句 (at Café Coco)が先行詞の場合、非限定用法の関係副詞は where を使う。「~、そしてその場所で･･･」 (= ~, and there...) などの意味を表す。",-,-,matter / look for
25,8章,関係詞,-,-,207,基本,-,F 125,私たちは2021年に愛犬のレオを迎え、その年は三重に引っ越してきた年だった。,"We adopted our dog Leo in 2021, ( )( ) moved to Mie.",-,"We adopted our dog Leo in 2021, when we moved to Mie.",when / we,"「2021年に」に追加の説明を加えるとき, in 2021の代わりをする関係副詞は? 「三重に引っ越してきた」の主語は?","時を表す語句 (in 2021)が先行詞の場合、非限定用法の関係副詞は when を使う。「~、そしてその時･･･」 (= ~, and then...)などの意味を表す。",adopt 「~を採用する、~を養子にする」,非限定用法がある関係副詞は whereとwhenのみ。whyとhowにはない。,matter / look for
26,8章,関係詞,-,-,208-1,基本,-,F 118,重要なのは、すべての子どもたちに質の高い教育を提供することだ。,( )( ) is providing quality education for all children.,-,What matters is providing quality education for all children.,What / matters,「重要であること」を表す名詞節を主語にする。「~すること、~するもの」を表す、先行詞を含む関係代名詞は? 「~は重要である」を表す自動詞は?,関係代名詞のwhat は 「~すること、~するもの」を表す。whatは先行詞を含んでいるので、先行詞なしで使う。文の中でwhat節が主語、節の中でも what は主語 (what matters)。,"matter ①名詞「問題,事柄」②動詞「重要である、問題となる」, What matters is A 「重要なのはA、問題なのはA」, provide B for A 「A(人)にB(必要なもの)を提供する [供給する]」, quality education 「質の高い教育」",-,matter / look for
27,8章,関係詞,-,-,208-2,基本,-,F 118,探しているものをネットで見つけるのは簡単だ。,It is easy to find ( )( )( )( )( ) online.,-,It is easy to find what you are looking for online.,what / you / are / looking / for,「あなたが探しているもの」という名詞節を、関係代名詞を使って表す。,文の中でwhat節は find の目的語、節の中では what は前置詞 for の目的語 (you are looking for what)。,-,-,matter / look for
28,8章,関係詞,-,-,208-3,基本,-,F 118,君が言ったことをずっと考えている。,I've been thinking about ( )( )( ).,-,I've been thinking about what you said.,what / you / said,「君が言ったこと」という名詞節を、関係代名詞を使って表す。,文の中でwhat節は前置詞 about の目的語、節の中でwhat は said の目的語 (you said what)。,think about A / think of A 「Aのことを考える」,-,matter / look for
29,8章,関係詞,-,-,209,発展,-,F 130,持っていたわずかなお金で、友達にささやかなプレゼントを買った。,I bought a small gift for my friend with (money/I/little/had/what).,-,I bought a small gift for my friend with what little money I had.,what / little / money / I / had,「私が持っていた少しばかりのすべてのお金」は、関係形容詞 what を使って表す。,what A(+S')+V'. 「･･･するすべてのA」。このwhat は関係形容詞。後に名詞Aがきて、その後にS'+V'またはV'を置く。,-,-,matter / look for
30,8章,関係詞,-,-,210-1,基本,-,F 130,厳しいと思っていた先生がいたのだが、親切な先生だとわかった。,"There was a teacher ( )( )( ) was strict, but he turned out to be friendly.",-,"There was a teacher who I thought was strict, but he turned out to be friendly.",who / I / thought,「厳しいと(私が)思っていた先生」の下線部にあたる語句を挿入する。,"関係代名詞の直後にI think, I believe, I suppose などが続く場合がある。この形では、主格であっても関係代名詞を省略することがある。","strict 「厳格な」, turn out (to be) + C 「C(である)とわかる、C(である)と判明する」",-,call / more / worse
31,8章,関係詞,-,-,210-2,基本,-,-,人の話を聞くのは大切だが、最後は、自分がいちばんいいと思うことをやるしかない。,"It is important to listen to others, but in the end, you have to do ( )( )( ) is best.",-,"It is important to listen to others, but in the end, you have to do what you think is best.",what / you / think,「自分がいちばんいいと思うこと」の下線部にあたる語句を挿入する。,You have to do what is best. (最善のことをしなければならない。) You have to do what you think is best. [what は関係代名詞] (あなたが思う最善のことをしなければならない。),in the end 「最終的に」,-,call / more / worse
32,8章,関係詞,-,-,211-1,基本,-,-,皆さんの応援があったからこそ、今の私があるのだと思います。,"Thanks to your support, I've become ( )( )( ) today.",-,"Thanks to your support, I've become what I am today.",what / I / am,「今の私→ 今日の私であるもの」。「今」なのでbe動詞の時制は?,what S is 「今のS(の姿)」。関係詞節の中でwhat は補語の働きをしている。,-,-,call / more / worse
33,8章,関係詞,-,-,211-2,基本,-,-,今日の日本は30年前とは違う。,Japan today is not (w )( )( ) thirty years ago.,w,Japan today is not what it was thirty years ago.,what / it / was,「30年前とは違う→30年前の日本(の姿)ではない」と表現する。「30年前」だからbe動詞の時制はどうなる?,what S was [were] / what S used to be 「以前のS(の姿)、かつてのS(の姿)」,-,-,call / more / worse
34,8章,関係詞,-,-,212,基本,-,-,私たちはいわゆる情報化時代に生きている。,We live in ( )( )( ) the Information Age.,-,We live in what is called the Information Age.,what / is / called,「いわゆる情報化時代」は「情報化時代と呼ばれるもの」と表現する。,"what is called A / what we [they, you] call A 「いわゆるA」",the Information Age「情報化時代」,-,call / more / worse
35,8章,関係詞,-,-,213-1,基本,-,-,本を読むのが好きだが、それは本が私を楽しませ、しかも新しいことを学べるからだ。,"I like reading books because they entertain me, and ( )( )( ), I can learn new things.",-,"I like reading books because they entertain me, and what is more, I can learn new things.",what / is / more,「しかも→その上、さらに」。moreover や besides と同じ意味を表す表現。,what is more 「その上、さらに」 = moreover = besides,-,-,call / more / worse
36,8章,関係詞,-,-,213-2,基本,-,-,私は映画に遅れてしまい、さらに悪いことに、財布を家に忘れてきた。,"I was late for the movie, and ( )( )( ), I had left my wallet at home.",-,"I was late for the movie, and what was worse, I had left my wallet at home.",what / was / worse,bad 「悪い」の比較級を使った表現。時制に注意する。,what is worse 「さらに悪いことに」 = to make matters worse。主節の動詞が過去形なので what was worse となる。副詞句として副詞の働きをする。文と文をつなぐことはできないので、つなぐときは and が必要。,leave A at home 「Aを家に忘れる」,-,call / more / worse
37,8章,関係詞,-,-,214,発展,-,-,ケンにはよくあることだが、彼はミーティングに遅刻した。,"Ken was late for the meeting, (with / the / often / case / is / as) him.",-,"Ken was late for the meeting, as is often the case with him.",as / is / often / the / case / with,「~にはよくあることだが」を表す定型表現を、主節の後に置いた文。「ケンはミーティングに遅刻した、彼にはよくあることだが」と表現する。,関係代名詞 asの非限定用法。「･･･だが、･･･のように」を意味する。先行詞は主節の内容。先行詞が後にくることもある。as is often the case (with A) 「(Aには) よくあることだが」,-,-,hobby / in need / happen / anyone
38,8章,関係詞,-,-,215,発展,-,-,ソーシャルメディアはあなたと同じ趣味を持つ人を見つけるのに役立つ。,Social media can help you find people who have the ( )( )( )( ) you (do).,-,Social media can help you find people who have the same hobbies as you (do).,same / hobbies / as,関係代名詞のas を使った表現。asの後に S'(+V') を続ける。,関係代名詞asの限定用法。先行詞はthe same A. the same A as... 「･･･するのと同じA」 -the を省略しない。,-,-,hobby / in need / happen / anyone
39,8章,関係詞,-,-,216,発展,-,-,今、私たちが保護できないほど多くの、絶滅の危機に瀕した動物がいる。,There are (endangered animals / protect / than / we / more / can) now.,-,There are more endangered animals than we can protect now.,more / endangered / animals / than / we / can / protect,「保護できないほど多くの=保護できるよりも多くの~」と表現する。than の後にS'+V'を続ける。than 以下の節が直前の名詞を修飾する。,thanを関係代名詞的に使う。more Aが先行詞にあたる。more A than... 「･･･する以上のA、･･･できないほど多くのA」,"endangered animal 「絶滅の危機に瀕した動物」, protect 「~を保護する」",-,hobby / in need / happen / anyone
40,8章,関係詞,-,-,217,基本,-,F 126,地域で助けを必要としている人は誰でも助けることが大切だ。,It is important to help ( )( )( )( )( ) in our community.,-,It is important to help whoever is in need in our community.,whoever / is / in / need,「~する人は誰でも」を、先行詞を含む関係代名詞で表すと? 「助けを必要としている」は「必要 (窮地)の中にいる」と表現できる。,"関係代名詞に-ever が付いた whoever, whatever, whichever を複合関係代名詞と呼ぶ。anyone や anything などの先行詞を含む表現。whoever... 「･･･する人は誰でも」 = anyone who ...","be in need「助け [食料、お金]を必要としている」 = need help [food, money]",-,hobby / in need / happen / anyone
41,8章,関係詞,-,-,218-1,基本,-,F 126,一人旅では、したいことが何でもできる。,"When you travel alone, you can do ( )( )(w ).",w,"When you travel alone, you can do whatever you want.",whatever / you / want,「したいことが何でも→望むことは何でも」「~するものは何でも」を、先行詞を含む関係代名詞で表すと?,whatever... 「･･･するものは何でも」 = anything that ... 名詞節を導くwhatever。whatever 以下が動詞doの目的語。,travel alone 「一人旅をする」,-,hobby / in need / happen / anyone
